epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,681.619,1.29615,1.64057,1.48878,0.79624,0.71267,0.74384,0.58053,0.71117,0.69638,1.04153,0.00333111,0.00333111,0.00333111
2,1219.77,1.18414,1.24043,1.40795,0.78714,0.71784,0.74666,0.5751,0.73505,0.77452,1.07552,0.00659847,0.00659847,0.00659847
3,1742.73,1.24049,1.34721,1.46004,0.76112,0.67867,0.70696,0.54695,0.77942,0.85281,1.11151,0.00979982,0.00979982,0.00979982
4,2263.29,1.24767,1.37717,1.47882,0.7493,0.71027,0.72962,0.5783,0.70883,0.70385,1.0732,0.009703,0.009703,0.009703
5,2783.04,1.20838,1.31755,1.45797,0.79334,0.72035,0.74759,0.59648,0.67085,0.65494,1.04494,0.009604,0.009604,0.009604
6,3330.42,1.17775,1.25832,1.43461,0.81084,0.74096,0.75978,0.60563,0.66072,0.64583,1.04163,0.009505,0.009505,0.009505
7,3852.14,1.14643,1.20754,1.41362,0.80115,0.75852,0.77315,0.62395,0.61826,0.60427,1.0201,0.009406,0.009406,0.009406
8,4419.12,1.13404,1.1788,1.4045,0.8302,0.76388,0.78669,0.63754,0.60039,0.57384,1.01194,0.009307,0.009307,0.009307
9,4943.78,1.11067,1.14461,1.38892,0.82163,0.75211,0.77836,0.63328,0.58797,0.57075,1.00361,0.009208,0.009208,0.009208
10,5462.57,1.10474,1.12577,1.38553,0.81734,0.75207,0.78661,0.63783,0.57715,0.55421,0.99997,0.009109,0.009109,0.009109
11,5983.08,1.09153,1.11341,1.37363,0.82652,0.78034,0.80547,0.64954,0.56707,0.52049,0.99509,0.00901,0.00901,0.00901
12,6492.33,1.08957,1.10589,1.3676,0.85293,0.76402,0.80251,0.64936,0.56097,0.51406,0.98755,0.008911,0.008911,0.008911
13,7013.39,1.07311,1.08269,1.35929,0.85247,0.76513,0.80965,0.65122,0.54231,0.51105,0.97301,0.008812,0.008812,0.008812
14,7542.51,1.07073,1.07391,1.35863,0.85197,0.77174,0.81082,0.65284,0.53883,0.49174,0.97713,0.008713,0.008713,0.008713
15,8062.2,1.06165,1.05688,1.35058,0.82741,0.78871,0.80892,0.6565,0.539,0.4923,0.98025,0.008614,0.008614,0.008614
16,8640.16,1.05776,1.04486,1.35006,0.82886,0.79147,0.81097,0.65569,0.53937,0.48258,0.97873,0.008515,0.008515,0.008515
17,9159.11,1.04539,1.03659,1.34237,0.83606,0.77844,0.80352,0.65703,0.53604,0.48864,0.98131,0.008416,0.008416,0.008416
18,9686.29,1.04171,1.02325,1.33219,0.84972,0.79484,0.81909,0.66187,0.52731,0.46272,0.97063,0.008317,0.008317,0.008317
19,10209.8,1.03752,1.01609,1.33486,0.83904,0.8063,0.81817,0.66093,0.53035,0.47156,0.97613,0.008218,0.008218,0.008218
20,10818.5,1.03193,1.00556,1.32983,0.84165,0.80625,0.82907,0.66831,0.52445,0.45981,0.97215,0.008119,0.008119,0.008119
21,11337.3,1.02422,1.0009,1.32467,0.84975,0.80121,0.82951,0.66904,0.5211,0.45415,0.96522,0.00802,0.00802,0.00802
22,11869.1,1.02195,0.98476,1.31929,0.84927,0.79455,0.82358,0.66892,0.52078,0.4517,0.96604,0.007921,0.007921,0.007921
23,12389.7,1.02005,0.98282,1.31829,0.85355,0.79444,0.82606,0.67001,0.51853,0.4473,0.96539,0.007822,0.007822,0.007822
24,13105.7,1.01071,0.97069,1.31207,0.85215,0.78436,0.82791,0.67432,0.51645,0.44298,0.96316,0.007723,0.007723,0.007723
25,13628.1,1.01269,0.96888,1.31357,0.8438,0.80365,0.83704,0.67701,0.51492,0.43799,0.96343,0.007624,0.007624,0.007624
26,14157.6,1.00389,0.96371,1.30869,0.85497,0.79561,0.83521,0.67487,0.51377,0.43898,0.95985,0.007525,0.007525,0.007525
27,14668.3,0.99924,0.94799,1.30207,0.84818,0.80646,0.83707,0.67501,0.51536,0.43597,0.9605,0.007426,0.007426,0.007426
28,15206.2,0.99524,0.93532,1.29751,0.85633,0.80986,0.83814,0.67528,0.51057,0.42458,0.95767,0.007327,0.007327,0.007327
29,15720.7,0.99735,0.93903,1.30117,0.85482,0.8025,0.83574,0.67487,0.50951,0.42434,0.95807,0.007228,0.007228,0.007228
